Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5620000,0.5678468,181.9375,4.8287725,8.373344813623737,8.373344813623737,1.0
5630000,0.5678468,232.6086956521739,4.9429107,10.374492953221003,10.374492953221003,1.0
5640000,0.56681323,507.962962962963,4.864948,25.04710646691146,25.04710646691146,1.0
5650000,0.5663858,257.53846153846155,4.778376,11.647059927384058,11.647059927384058,1.0
5660000,0.56531495,482.7692307692308,4.84512,22.48805893212557,22.48805893212557,1.0
5670000,0.56478345,356.6363636363636,4.7212257,19.08972502661788,19.08972502661788,1.0
5680000,0.5638298,339.4,4.5810943,16.14811249822378,16.14811249822378,1.0
5690000,0.5632581,364.4117647058824,4.5986133,17.954000852776296,17.954000852776296,1.0
5700000,0.56240183,288.2758620689655,4.558655,14.68824742436409,14.68824742436409,1.0
5710000,0.56173885,574.1764705882352,4.5711513,28.013401176999597,28.013401176999597,1.0
5720000,0.5610047,347.03846153846155,4.5120454,17.545464356358234,17.545464356358234,1.0
5730000,0.5601794,497.3809523809524,4.5596075,26.926733882589772,26.926733882589772,1.0
5740000,0.55919707,412.4642857142857,4.5160856,21.27112029955305,21.27112029955305,1.0
5750000,0.5580496,286.0,4.510379,14.116030354499816,14.116030354499816,1.0
5760000,0.5572191,354.7931034482759,4.4679995,17.783471912145615,17.783471912145615,1.0
5770000,0.5558835,357.9642857142857,4.3958287,18.177036379064834,18.177036379064834,1.0
5780000,0.55515915,472.9130434782609,4.4473424,23.841529057784513,23.841529057784513,1.0
5790000,0.5537134,369.44444444444446,4.360711,20.12313970497676,20.12313970497676,1.0
5800000,0.5530094,325.7142857142857,4.3698807,15.888355430747781,15.888355430747781,1.0
5810000,0.5512856,483.8888888888889,4.394418,23.632817157927683,23.632817157927683,1.0
5820000,0.5506438,376.48148148148147,4.2527437,19.56793966357197,19.56793966357197,1.0
5830000,0.54869604,497.05,4.424322,24.62183074206114,24.62183074206114,1.0
5840000,0.5484147,342.3142857142857,4.2417846,17.215638064060894,17.215638064060894,1.0
5850000,0.546794,259.0,4.278547,12.514669339965891,12.514669339965891,1.0
5860000,0.54654247,429.6551724137931,4.300993,21.902720204421453,21.902720204421453,1.0
5870000,0.5449039,477.14285714285717,4.323124,23.55485276742415,23.55485276742415,1.0
5880000,0.544828,254.0952380952381,4.1385527,12.397284768876576,12.397284768876576,1.0
5890000,0.54288304,227.5625,4.152598,10.676714689470828,10.676714689470828,1.0
5900000,0.542808,367.0571428571429,4.1984324,18.867718619959696,18.867718619959696,1.0
5910000,0.5402756,230.71875,4.2096314,11.043420122936368,11.043420122936368,1.0
5920000,0.5402756,400.44,4.2288833,20.762882397174835,20.762882397174835,1.0
5930000,0.537944,459.0869565217391,4.232597,23.691271490376927,23.691271490376927,1.0
5940000,0.53786194,614.4375,4.304007,31.8968891342481,31.8968891342481,1.0
5950000,0.53552705,327.23333333333335,4.2395597,16.977133796099693,16.977133796099693,1.0
5960000,0.535265,453.84615384615387,4.28897,23.11145432637288,23.11145432637288,1.0
5970000,0.5336934,295.14285714285717,4.2247095,14.479285266782556,14.479285266782556,1.0
5980000,0.5334078,373.82758620689657,4.1409917,19.27493078544222,19.27493078544222,1.0
5990000,0.5316111,331.9130434782609,4.2401867,17.215347724764243,17.215347724764243,1.0
6000000,0.5312009,431.2,4.2548194,21.846985081831615,21.846985081831615,1.0
6010000,0.5294699,565.7083333333334,4.2995024,29.486299768090248,29.486299768090248,1.0
6020000,0.5289032,368.25,4.362709,18.51666804254055,18.51666804254055,1.0
6030000,0.5270372,699.25,4.3599753,40.020562561353046,40.020562561353046,1.0
6040000,0.5262586,425.46153846153845,4.251941,22.15837124431575,22.15837124431575,1.0
6050000,0.5242948,382.22222222222223,4.184883,20.250628026632164,20.250628026632164,1.0
6060000,0.52315575,239.66666666666666,4.1156363,12.104644763308603,12.104644763308603,1.0
6070000,0.52191436,579.2,4.197252,29.627474862337113,29.627474862337113,1.0
6080000,0.52107763,356.86206896551727,4.1845746,18.723128988274507,18.723128988274507,1.0
6090000,0.5197266,483.6,4.214261,23.971952893904277,23.971952893904277,1.0
6100000,0.518558,329.36,4.1341863,16.17549767966072,16.17549767966072,1.0
6110000,0.51711655,324.0769230769231,4.0990524,16.98949878960848,16.98949878960848,1.0
6120000,0.5154761,380.57894736842104,4.190559,19.508032205857727,19.508032205857727,1.0
6130000,0.51492333,378.39285714285717,4.159723,19.852865825806344,19.852865825806344,1.0
6140000,0.5142361,481.42857142857144,4.1770587,25.409561337459657,25.409561337459657,1.0
6150000,0.5137214,365.5,4.2047563,18.689044101370705,18.689044101370705,1.0
6160000,0.51282686,461.0689655172414,4.1940055,25.043004479901544,25.043004479901544,1.0
6170000,0.51217705,365.3333333333333,4.194184,18.942277640104294,18.942277640104294,1.0
6180000,0.5107614,455.64,4.296431,24.669353023171425,24.669353023171425,1.0
6190000,0.5103622,538.35,4.3684773,29.16534031778574,29.16534031778574,1.0
6200000,0.5093355,291.2352941176471,4.345641,15.696301698684692,15.696301698684692,1.0
6210000,0.5089478,652.047619047619,4.3647776,36.59637504390308,36.59637504390308,1.0
6220000,0.50735277,361.85,4.2624464,19.307081224769355,19.307081224769355,1.0
6230000,0.5069866,328.3076923076923,4.495454,16.725780138602623,16.725780138602623,1.0
